open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,buy_volume,sell_volume,volume_delta,cvd
2024-11-05 15:00:00,69964.01,70071.43,69766.0,69896.99,319.51915,2024-11-05 15:04:59.999,22343135.6578565,76206,176.21081,12320785.8008241,0,176.21081,143.30834000000002,32.902469999999994,32.902469999999994
2024-11-05 15:05:00,69896.99,69978.96,69579.91,69922.01,513.31836,2024-11-05 15:09:59.999,35807314.9837769,67714,292.48093,20412427.9480568,0,292.48093,220.83742999999998,71.64350000000002,104.54597000000001
2024-11-05 15:10:00,69922.01,69995.65,69804.49,69946.0,179.90653,2024-11-05 15:14:59.999,12580390.2572246,49698,90.97401,6361094.2468378,0,90.97401,88.93252,2.0414900000000102,106.58746000000002
2024-11-05 15:15:00,69945.99,69966.99,69768.0,69774.0,249.76294,2024-11-05 15:19:59.999,17457499.7534179,45429,164.04103,11466958.6864817,0,164.04103,85.72190999999998,78.31912000000003,184.90658000000005
2024-11-05 15:20:00,69774.01,69828.0,69480.0,69615.63,411.06921,2024-11-05 15:24:59.999,28624582.9185347,47780,124.96438,8701446.8881181,0,124.96438,286.10483,-161.14045,23.76613000000006
2024-11-05 15:25:00,69615.64,69694.0,69345.62,69408.0,195.35902,2024-11-05 15:29:59.999,13588944.8884475,40138,84.55118,5883354.6711829,0,84.55118,110.80783999999998,-26.256659999999982,-2.4905299999999215
2024-11-05 15:30:00,69407.99,69444.69,69216.5,69298.0,392.58199,2024-11-05 15:34:59.999,27214902.353652,54598,184.49456,12788702.7898429,0,184.49456,208.08743,-23.592870000000005,-26.083399999999926
2024-11-05 15:35:00,69298.0,69648.0,69268.55,69622.0,181.87348,2024-11-05 15:39:59.999,12641191.2678111,38643,109.14399,7585468.9685079,0,109.14399,72.72949,36.414500000000004,10.331100000000077
2024-11-05 15:40:00,69622.01,69736.8,69510.51,69715.36,317.48373,2024-11-05 15:44:59.999,22110691.9650162,44444,185.29331,12905867.1910658,0,185.29331,132.19042,53.10289,63.43399000000008
2024-11-05 15:45:00,69715.35,69766.66,69540.0,69579.99,143.77726,2024-11-05 15:49:59.999,10017255.7714077,40821,61.80755,4305754.8720571,0,61.80755,81.96971000000002,-20.16216000000002,43.27183000000006
2024-11-05 15:50:00,69580.0,69607.75,69432.0,69599.99,129.30795,2024-11-05 15:54:59.999,8990289.8524893,37931,63.04685,4383331.9323215,0,63.04685,66.2611,-3.21425,40.05758000000006
